arrival_time,dis,vehicle_id
2019/1/1 17:12,7.05932,953896960265_5
2019/1/1 17:14,7.92201,953896960265_5
2019/1/1 17:17,9.30669,953896960265_5
2019/1/1 17:21,10.32271,953896960265_5
2019/1/1 17:27,11.79302,953896960265_5
2019/1/1 17:28,12.20109,953896960265_5
2019/1/1 17:29,12.95712,953896960265_5
2019/1/1 17:39,13.65437,953896960265_5
2019/1/1 17:42,14.32924,953896960265_5
2019/1/1 17:46,15.07501,953896960265_5
2019/1/1 17:53,16.71311,953896960265_5
2019/1/1 18:01,18.3731,953896960265_5
2019/1/1 18:13,19.80024,953896960265_5
2019/1/1 18:17,21.12827,953896960265_5
2019/1/1 20:20,0,953896960265_7
2019/1/1 20:23,1.32358,953896960265_7
2019/1/1 20:25,2.23103,953896960265_7
2019/1/1 20:30,2.83657,953896960265_7
2019/1/1 20:31,3.50861,953896960265_7
2019/1/1 20:33,4.18638,953896960265_7
2019/1/1 20:36,4.91402,953896960265_7
2019/1/1 20:37,5.72472,953896960265_7
2019/1/1 20:42,6.64341,953896960265_7
2019/1/1 20:42,7.05932,953896960265_7
2019/1/1 20:46,7.92201,953896960265_7
2019/1/1 20:49,9.30669,953896960265_7
2019/1/1 20:52,10.32271,953896960265_7
2019/1/1 20:56,11.79302,953896960265_7
2019/1/1 20:57,12.20109,953896960265_7
2019/1/1 20:59,12.95712,953896960265_7
2019/1/1 21:02,13.65437,953896960265_7
2019/1/1 21:04,14.32924,953896960265_7
2019/1/1 21:06,15.07501,953896960265_7
2019/1/1 21:11,16.71311,953896960265_7
2019/1/1 21:16,18.3731,953896960265_7
2019/1/1 21:20,19.80024,953896960265_7
2019/1/1 21:24,21.12827,953896960265_7
2019/1/1 20:22,0,154688293503_1
2019/1/1 20:24,1.32358,154688293503_1
2019/1/1 20:27,2.23103,154688293503_1
2019/1/1 20:30,2.83657,154688293503_1
2019/1/1 20:32,3.50861,154688293503_1
2019/1/1 20:35,4.18638,154688293503_1
2019/1/1 20:36,4.91402,154688293503_1
2019/1/1 20:39,5.72472,154688293503_1
2019/1/1 20:42,6.64341,154688293503_1
2019/1/1 20:43,7.05932,154688293503_1
2019/1/1 20:46,7.92201,154688293503_1
2019/1/1 20:49,9.30669,154688293503_1
2019/1/1 20:53,10.32271,154688293503_1
2019/1/1 20:55,11.79302,154688293503_1
2019/1/1 20:56,12.20109,154688293503_1
2019/1/1 20:58,12.95712,154688293503_1
2019/1/1 21:00,13.65437,154688293503_1
2019/1/1 21:02,14.32924,154688293503_1
2019/1/1 21:03,15.07501,154688293503_1
2019/1/1 21:09,16.71311,154688293503_1
